@relation 'Twitter Sentiment Analysis SemEval Dataset'

@attribute content string
@attribute class {positive,neutral,negative}

@data
'@AustinDB34 I know thats what Im saying lol Tucker straight outkicked Cundiff in camp, I\'m glad he\'s gone. Didnt he miss one in the 4th qtr?',positive
'I still know all the lyrics to Sk8r Boi by Avril Lavigne and it was my 6th grade ringtone. Come at me.',negative
'@fckyeahalyssa aye mah dude did you tell alondraa abouut going to the bell game tomorrow?',negative
'Ben Amos doing well @Hull .Another clean sheet. He says he\'s enjoying the challenge of playing regular 1st team football. #MUFC',positive
'Last interview in the city tomorrow then SIGNING DAY!',negative
'@Dopee_Dayy i went trick or treating every year of high school except senior year only cuz negros was faking. im going tomorrow too.',negative
'I\'m not the go out type. Saturday nights are my \\\"\"stay up all night with the fellas on 360\\\"\" night, but I think I\'ll dive into Paterno\'s bio.',negative
'@thomas_edison Doing a show in Amsterdam? Would love to see you guys play live soon! I might be in amsterdam Saturday night',positive
'SNEAK PEEK: Check out the 12 Freebies you can get at CVS on Black Friday!  Link in the first comment:',positive
'Afterwork social @2552 S. King Dr. from 4-9 saturday.  steppin,food, drinks.  5 days work and sixth day for relaxation.',positive
'@HockeyyInsiderr Gagner has been in trade rumours since the beginning of the year. Can\'t claim 1st on this one bud.',negative
'If you haven\'t seen your Good Giving Guide yet, check it out online.  The Challenge starts Nov 1 - we appreciate your support!...',positive
'Here are the five Capital One Cup matches tonight and some potential upsets on the cards - Swindon to beat Aston Villa? http://t.co/DwDrysrp',negative
'Article 54: A Bro is required to go out with his Bros on official Bro holidays; halloween, New Year\'s Eve, and Desperation Day (February 13)',negative
'Channing Tatum may not be that good of an actor but he sure as hell can dance #ayyyyye',positive
'How are you spending your Saturday night? I\'m currently sitting crying my eyes out to The Vow.',negative
'I think my mom might buy me the box set bc i\'ve been bugging her about MSG and i told her i\'d give her $30 if she got it before november 14',negative
'Capello: I\'ll Tweak Lineup for Azerbaijan Game: Coach Fabio Capello said Monday he will tweak the Russian lineup... http://t.co/Qsa7KgiQ',negative
'@Iiamneeson all I can say is that it was very unrealistic. The 1st movie was better-storyline, dialogue! And of course \\\"\"The Grey\\\"\" thumbs up!',negative
'@stephenfry cant wait! coming to see you in February from Belgium!',positive
'The boys will do promo in Sweden today (November 2nd) and they will perform on Sweden XF tonight, live stream here http://t.co/zwqpmaKb',negative
'Tomorrow is last day for early voting in Nevada. I am not inspired to vote early. I don\'t like many of the choices. Most suck balls.',negative
'Oingo Boingo (well, most of the band) tomorrow & Leonard Cohen on Monday. #DudeImStoked',positive
'Harry Redknapp 2nd favourite at 7/4 to be next blackburn boss!! venkys please make this happen!!!! #makeredknapparover',positive
'Love that James Bond montage at the end of Super Sunday by Sky',positive
'Jason Wu & Rebecca Minkoff on friday,  Lela Rose, Tracey Reese, Zac Posen & Derek Lam on sunday some if the shows i\'m excited too see #NYFW',positive
'ALL 49\'ers fans, go vote for @jgoody59 for the 2013 Pro Bowl. http://t.co/dUC78RCo you may vote as many times as you like.',negative
'NBA NEWS:  The New York Knicks will take on the Miami Heat at MSG on Saturday (Australian Time) in their season... http://t.co/STbP6qTU',negative
'Can\'t watch Rafa\'s \\\"\"I\'ll be back\\\"\" video til the end, it\'s too heartbreaking :( plus it just reminded me he was up 5/1 in AO 5th set...',negative
'My friend @treesmellsnice is selling tickets for the Jonas Brothers concert @ Fort Canning on Monday @ $50/ticket. That\'s half price! RT!',positive
'Austin Rivers is overrated I don\'t see how he came out in 1st round',negative
'@SwiftExpert Is t it fake? The Grammys nominations come out in December!!!',negative
'New Basics Foundation for January just listed, beginning Monday January 28th - that\'s right, Australia Day public... http://t.co/hXTClX0E',negative
'Andre\'s Wigan Warning: Wigan might currently occupy 15th place in the Premier League, but Andre Villas-Boas is w... http://t.co/44GYkO3e',negative
'@flergh @JiklopDave Well aren\'t you good!  Happy anniversary. May many owls serenade you with Ricky Martin songs.',positive
'@Clenny5 I\'ll see you tomorrow! I\'ll be with my friend from Germany who came for her first hockey game! :) shed like to meet you! :)',positive
'Our left side is the weakness, 1st game for Young after injury and Evra.. Well Evra is Evra.',negative
'3rd day in a row catching my mom watching Sophia grace and Rosie #obsessed #shelikesrosie #seriousfan',negative
'Just walked by Florida\'s practice field. They were blaring Mizzou\'s fight song. I\'m guessing so players will hate it by Saturday?',negative
'A1 Live in Cebu at the Waterfront Cebu Hotel and Casino on November 23 http://t.co/BL41iSUa #CebuFinest',positive
'@IBGDRGN Today is our Chinese July 7th Valentine\'s day I hope you will soon find you that she wishes you to be happy  Happy Valentine\'s Day',positive
'Sat here watching Celebrity Juice again 3rd time today with my mum.',negative
'@FreddieFans You sure it was Quo? They were the first act on, Queen weren\'t 2nd I\'m sure of it',negative
'@smiley_jedi Brilliant result!! I think the winnings may go on our phone bill after I\'m a Celeb or Dancing on Ice if the rumours are true :(',positive
'YAY!!! We are front page on Will Ferrell\'s Funny or Die for the 24th time! Check it out!... http://t.co/zLPFqsHu',positive
'@MrsCheddies mid-Feb at the moment. I\'m hoping it arrives before Chinese New Year!',negative
'Higgins \\\"\"Great experience for the young group and to meet with Premier League teams a real highlight\\\"\" \\\"\"Very young squad to play on Sat\\\"\"',positive
'Bucks backcourt mates Brandon Jennings and Monta Ellis had a \\\"\"little brother-big brother\\\"\" talk on Sunday, as Jennings described it.',negative
'\\\"\"@KButter5: dook football, even the sun shines on a dog\'s a$$ some days. #UNC\\\"\" Dook...',negative
'YOOOO @ItzLavz & @_Beeniee If Niggas In Paris comes on more than once on the 26th, might have to plank for whole night...',negative
'The 10th Annual Colossal Castle Contest has begun!:  The Colossal Castle Contest is one of the longest running L... http://t.co/1myXTi8N',positive
'They should make february 13th Desperation Day.',negative
'It seem like it\'s NATIONAL KISSING DAY every other THURSDAY! Who tf made that shit up??!',negative
'@CA_Radio That\'s rough. You had 3 definite starts on a BYE. Also, Flacco over Newton? We have to talk about this on Friday.',negative
'@Remi_Walker same. I wanna go football really early tomorrow since we have the full day but idk what Connors doing+if Adams back from Poland',negative
'@jennettemccurdy wow look at this another amazing Monday \\\"\"Jennette On Ellen\\\"\" in 8 place we do this for you we love you http://t.co/lTHURVaW',positive
'You are going to go with me and Maddie to see Breaking Dawn Part II Friday the 16th at midnight (: #okaaaay!',negative
'Georgetown playing JMU in \\\"\"secret scrimmage\\\"\" on Saturday while GMU does the same at Marquette. http://t.co/E8iKggbW (h/t @gmuhoops )',negative
'Harry Redknapp tells ESPN that rumours he has an interview with Blackburn on Tuesday are wide of the mark: \\\"\"No chance, I am playing golf!\\\"\"',negative
'@buberzionist Yes, anything possible, but u didnt answer 2nd question. Why back to 67 borders? To make Israel weaker militarily?If so,why??',negative
'@hamdahussein @Alinaa_Z DEAAALL Lets do it on Monday and get Adalet and Jenelle to judge! You might wanna start practising now :)',positive
'@CodySIO Im so excited for when you come to Northern Lights on the 27th it will probably make my life.',positive
'@Willz4real yea Gibbs to score the 4th for AFC still',negative
'Wow my last RT. It\'s only been 4 years since Verm\'s arrival. He\'s now Captain and will make his 100th start for AFC on Sat. Time flies.',positive
'Goodnight bots! Tomorrow remember 106 & Park, MOBO Twitter chat, and David Letterman with @RitaOra! Good day for the Bots!',positive
'Sat waiting for the bus trying to beat my high score on Temple Run #justbecause',negative
'Ed Sheeran fucking loves Minnesota tho by the end of his Taylor swift concert, it will be his 7th time performing here, 4 of them in 1 year',positive
'@TheFalcoholic Why. Do you really want the Falcons to go to Chicago in Jan for the NFC Championship game. GO LIONS.',positive
'This next Superbowl is on my (21st) birthday. Random fact of the day.',negative
'Two worst players in plus/minus right now for OKC are Serge Ibaka and Kendrick Perkins. Stat may be soft, but it matches the eyes.',negative
'Count day tomorrow shouldnt even GO ! Winans is CRAZY -_-',negative
'Ghost Rider 2 is some bullshit smh it will be back in the red box tomorrow',negative
'Endymion for the 4th time i blieve.! ahaha #TeamOrjan #CLHRDay',negative
'Off to bed with sexy Mr man, tomorrow morning watch out Galveston here we come just made 100 jello shots',negative
'\\\"\"Birthday Cake\\\"\" is gonna be the song leading us into 4th quarter, count it.',positive
'If U live near Long Beach consider going to @Parkcrest Church 2 hear @bobrobertsjr Sat @6 or Sun @830/10/1130 #BoldAsLove @Vision360LB',negative
'If Price fights either Klitschko, they\'ll definitely not want him wearing 10 ouncers. May as well be bare knuckle. #price',negative
'ok Im off twitter for the night til tomorrow Bomb Squad enjoy ur night love you much!',positive
'Thinking Thursday: Your affectionate WORSHIP will lead you into effective WARFARE! ~Narda Goodson, 2012 Narda\'s Nuggets',positive
'@Cole__Hines @WSJ @carney Print ain\'t dead yet Cole, and I\'m sure you know there\'s something special about Sunday Papers too.',positive
'@barbara_holm have you noticed Rob McKenna looks exactly like the principle/April\'s Husband from Eastbound and Down?',negative
'3 hrs to go before the 2nd to the last episode! Wherever You Are Josh Bradley | David Archuleta In Nandito Ako | Alwyn Ana RS In TV5 Manila',negative
'i want tickets to the Thursday Game Heat vs Knicks (Game 3) hmm...',negative
'Imma need Brook Lopez to get more aggressive on the boards. 7 feet tall, c\'mon son',negative
'Bulls season tips off Wednesday night vs Sacramento Kings. Excited is not the word.',positive
'Had a good day overall :) Can\'t wait for tomorrow to see the kids dressed up and Zachary !!',positive
'@plumpyTM Getting my Xbox back tomorrow! Honestly can\'t wait! - My friends wants a competitive 3v3, see if Cole is up for it man!',positive
'SASA will be having the first ever Bhangra Bootcamp on November 7th - 10pm at CIF! Only $5 to learn from our very own NACS 2012 Champions!',negative
'Centre suffering from \'policy paralysis\', alleges Jayalalithaa: Jayalalithaa on Tuesday charged the UPA go... http://t.co/Reau8svK #News',negative
'Eric Arc Elliott may be the best rapper in Flatbush ZOMBiES.',positive
'@lauren_bishop00 @mollyleach4 Lauren, sweetheart, how was your day on this wonderful Thursday? :).....that better -.-',positive
'Red delays new price anouncement till tomorrow 6PM. Sounds like they want to dig for Sony prices some more.',negative
'July 8th... It\'s goin down at DAR Constitution Hall... I\'m gonna make this last part rhyme... MB Y\'ALL!!!!!',negative
'@sarafinaab @Adesto Stasera ho guadato due film - \'Bel Ami\' con Robert pattinson, qual\'e stato cosi :/ e la seconda film- the ides of march',negative
'Scott & Evelyn Swanson, both work for FEMA.  Happy to host trick-treaters tonight, Evelyn heads out tomorrow http://t.co/cgzl3hcR',positive
'@Isdancing @LokiIsMyCopilot I haven\'t seen it yet, but Alan Rickman is permanently awesome, so I may have to.',positive
'Cant wait to move to Hawaii this Saturday! Promotion, New townhouse, new car & with myKING... Definitely a happy girl :)',positive
'@TaylorJet_187 i had OKC im playin online... the nigga had da knicks.. I was bustin dey ass then the 4th come, raymond felton and JR smith',negative
'Ghost Rider 2\'s a bad movie compared to the 1st.',negative
'when the best talent is on internship......  \\\"\"@temasekpoly: Sony is coming to TP this Friday to look for student talents!\\\"\"',positive
'Okay, okay...Saturday OT just became worth it...someone came with Porto\'s cheese rolls! YUM!',positive
'Oh and being the weird person I am ok going down to Starkville late Friday night @662King',negative
'Westbound into the U.S.- ongoing bridge inspection- construction - may be delays - Eastbound into Canada- Trucks No delay -cars no delay',negative
'JR Smith wanna be a starter so damn bad lol, nigga said 6th Man of the Year Award is not what he\'s thinking about',negative
'Today\'s future of news wood: free Hawkeye Lego toy on the cover of Murdoch\'s Sun http://t.co/IMaC62VH',negative
'Rocking out to Good Girl by @carrieunderwood at the gym. How exactly does one rock out while on a treadmill, you may ask? Well, it involves',positive
'Parma\'s 3-1 v Roma: Biabiany was offside on the 1st pass attempt, but the ball stopped on the wet pitch and he received the ball on 2nd one!',negative
'Jennifer Aniston & Drew Barrymore: Fill In The Blank!: At the 2012 LACMA Art + Film Gala on Sat... http://t.co/dCrNdpWI #Hollywood #news',negative
'i just saw degrassi cause i missed id on friday @DylanEvz your so cute !',positive
'@BryanWilley78 - If you let him play his game and realize you have an oversize Cammalleri and not a Todd Bertuzzi, he may bounce back.',positive
'i think she said shes coming to alsip tomorrow *begins texts all my ladies*',negative
'@GodssGift__ lmao how old are you? Club bodi should be live on sunday, its 18+ tho',negative
'AHHHHH just got Lauren\'s email!!! We are going to snap tomorrow #beready',positive
'ASTROLOGY NUMEROLOGY NOW host Z. STARMAN talks about the upcoming MERCURY RETROGRADE that begins November 6th  -... http://t.co/L3pWOSpK',negative
'Bring it On CD signing and performance event w @Lin_Manuel tomorrow at 300pm. Barnes and Noble on 86th and Lexington in Manhattsn:-)',negative
'Club Bodi may be out the question tonight',negative
'They say you are what you eat, but it\'s Friday and I don\'t care! #TGIF (@ Ogalo Crows Nest) http://t.co/l3uLuKGk',positive
'http://t.co/TtQf1MqA Haye: Vitali deal \'signed\': David Haye still expects a fight with Vita... http://t.co/hPW1ggRp CLICK-1st-LINK! 2WIN',negative
'If you live in the South Orlando area, be on the lookout. @Wawa has its 6th site opening on October 30th near the Florida Mall!',negative
'Hey everyone! Who\'s excited for Cosplay Casino Night tomorrow?! It\'s in the Center for Social Justice, at our... http://t.co/pngNVxlq',positive
'Ghost Rider 2 is pretty shit.. I liked the 1st one in all honesty but the 2nd is badly directed.. the shaky camera style is disorientating',negative
'How much is it to get film developed at Walgreens? Anyone know? C\'mon I\'m your boi',negative
'#NEW #SHIT 10 Things to Know for Friday: The U.S. Postal Service, on the brink of default on a second... http://t.co/W3V3Pi2t #NEW #SWAG',negative
'Heat vs Knicks gone be the best series in the 1st round..',positive
'I\'m going to Halestorm at Backstage Live in San Antonio, TX - Nov 10 http://t.co/v2K4luqd',negative
'10 PS4 launch games wed love to see. These are our hopes & dreams Sony, be gentle with them: OPM: A new console ... http://t.co/67K6bAhz',positive
'Playstation Vita ordered. I should have it on Tuesday and then LBPV the Tuesday after that. :)',negative
'Man, I\'m sorry for the death of MR.MITCH LUCKER. May he rest in PEACE.',negative
'nickelodeon slimefest is on saturday 15th of September at the Hordern Pavilion near moore park feat. justice crew, stan walker and many more',negative
'Jinja Safari have Hiccups, catch them live this Thursday with Opossom and White Arrows on the Blind Date Tour http://t.co/u572cXVW',negative
'Just met with CJ, banjo player in @MatrimonyBand! Come out to Neighborhood Theatre on June 23rd for the concert! You won\'t want to miss it!!',positive
'Are U in NY? Do U want freedom for Khader Adnan? Are U awesome? If so, U better be at the rally in NY, Feb 20 4:30-7:30 at Israeli embassy',negative
'Lil Trip will be performing next week July 7th with @TravisPorter live at the Fairground in Nashville, Tn',negative
'Raleigh and Fayette Counties have been added to the Winter Storm Watch from late Sunday to late Tuesday. Higher... http://t.co/4y6vSKWX',negative
'Mass tomorrow then Retreat Friday with da homie @bradychant',negative
'Well, monsoon coming in from the North and the Bomb Squad down in Midtown on the 15th. Time to go.',negative
'Tomorrow is going to be an easy day. Just show my bib cards for Eng which will be like 25 mins since I\'m LAST then get my test back in math',positive
'Hey!  Lauren (clarinet!) would like you all to know about this event hosted by BRIC!  Hey everyone, so on Sunday,... http://t.co/y2Z8zNwv',negative
'Just watched the What Makes You Beautiful video and I may have teared up. I shouldn\'t be allowed to be home alone',negative
'Now gotta wait for Friday for the Knicks first game #3seed',negative
'@sglatt711 Riri is the queen of shade. Because her forehead blocks out the sun.',negative
'@olearychris Then he makes his first career field goal for Edmonton on November 1.  What a year.',positive
'Someday I\'ll have a party and that party\'ll be named \\\"\"Angelo\'s 18th\\\"\" yes after 2 more years. I just turned Sixteen and I\'m a college student',positive
'Its a shame I wont be able to watch the Heat smoke the Knicks tomorrow',negative
'On Thursday over fifty countries and international organisations will come together for the London Conference on... http://t.co/9wWJT5dC',negative
'Damn. I would totally buy the Sun for this. @michaelroston: Future of news again: Free Hawkeye Lego with Murdoch\'s Sun http://t.co/6W8q4oET',positive
'@WSJ: The U.S. Postal Service reported a $5.2 billion quarterly loss, says it is nearly out of cash.<-- Sat mail will be gone very soon...',negative
'@ninaluvs1d are we still going Sylvia park tomorrow?',negative
'@Real_Liam_Payne I have this group called The Brits (nice name right haha) and it\'s our 1st monthsary today. Mind greeting us? X',positive
'haven\'t watched TTOA with Eng Sub yet. gotta sleep now. gonna watch it tomorrow. (~O~)zZ Gud nite tlist.',negative
'played the song \'Ain\'t No Need To Worry (Album Version)\' by THE WINANS on @myspace http://t.co/aSSBlRbv',negative
'Our SE member the Alresford Community Choir to share the stage with Brit Award winning @TheBandBlake on Sep 15 @TRwinchester. How exciting!',positive
'Nobel Peace laureate Jose Ramos-Horta warned Monday that Syria risked becoming a new Somalia as he voiced pessim ...  http://t.co/laxozNGJ',negative
'May the good LORD preserve you because you have put your trust in Him. Hallelujah to the Lamb of God. Psalm 16:1',positive
'I\'m excited for Riri\'s 7th studio album \\\"\"Unapologetic\\\"\" See the album cover: http://t.co/75sWc2pd',positive
'@KwanaWrites I think that\'s standard now. It\'s actually an improvement. Before they were saying the 11th. Now the 9th.',positive
'Every Thursday I fall more and more in love with Maya Rudolph',positive
'Open Dialog is cosponsoring with GLOBES to present to you \\\"\"Searching for Social Justice\\\"\" next Wednesday at 6pm. http://t.co/6GGsbR7G',negative
'#WednesdayWisdom from the old @OzingaRMC Alsip Sign: Do it now, since it will be yesterday tomorrow. http://t.co/Vc9dxiwJ',negative
'gunna snow. WC says Winter Storm Watch till 5pm tomorrow .. it was 80*F yesterday',negative
'@alfredoflores follow @amandawanxo and meet her on NOVEMBER 26. she deserves to meet you,crew & justin. She\'ll be at the bell center at 4!.',positive
'extra point is no good. Its DSU 28, Morgan State 20 with 5:02 left in the 3rd quarter.',negative
'I think Matty may have just implied that Max is doing a Christmas song. Or Lulu. Or Durston.',negative
'I have tkts to see Plan B next Feb- he has already announced his support acts- Labrinth and Rudimental!!!!this news has made me tres happy',positive
'@Jadeybugg4 if you get ungrounded tomorrow go to Lauren\'s birthday kickback',negative
'Three times Grammy nominated, Brit Award nominee and Ivor Novella winner Joan Armatrading takes to the stage on Sunday! http://t.co/M2uukRLx',positive
'im spending my hole friday wit bo we gone blow sme keisha nd grab a pack of blacks nd watch the battle of lebron career vs. CARMELO ANTHONY',negative
'hey @CaraCarriveau I have a concert this Saturday at Bedolla Skater Boyz in Alsip, IL at 6pm. Any chance I could get you to show?',negative
'Scrubbin to the max tomorrow cause I gotta work out and leave for a game.',negative
'Oh, Starbucks! Please pop out anywhere in ZC. May it be in Vitali! I\'ll fly!',negative
'i keep thinking about the fact that MMG will be in lexington on saturday and i won\'t be there:(((((',negative
'Who starts at QB on Friday? I\'d play Nichols. Have said that all year. He had a big Q4 with key targets and has already played Calgary.',negative
'@AshleyJudd Hi Ashley, My country,South korea like the US will be the Presidential election on December 19 ^^',negative
'White Arrows play The Earl on OCTOBER 9TH with Family of the Year and The New Cassettes. DON\'T MISS THIS. http://t.co/FqJzBd3U',negative
'Volunteering 4 the Obama campaign this AM! But I keep waitin 4 #Olivia to come in yelling \\\"\"Super Tuesday is coming people!\\\"\" @KerryWashington',positive
'Anonymous\' WikiLeaks like Project Tyler to Launch in December: A hacker, who claims to be a member of the hackin... http://t.co/Kzs7yZoX',negative
'Jamming AA, Miss May I, and Black Dahlia Murder all day #RAGE',negative
'Richie Hawtin - Tuesday 10/30 - Buffalo Town Ball Room - Don\'t miss it!',positive
'Going to 3MPH: a Woman\'s Walk Around the ... at Chautauqua Community House on Mon, Nov 12 http://t.co/rsOCU9z7',negative
'Erotic Asphyxiation, Evanescence, Strip Clubs and Kaaba have been the topics of my discussions today! Happy Friday?!',positive
'@sue_bryce hey sue. So excited to see you at WPPI U tomorrow. We\'re coming don Canada and would love to buy you a drink. @catG_photo',positive
'@theprawnguy This Sunday the actual work is just east of Edmonds. But there will be a couple of delays impacting all Eastbound service^DA',negative
'Tyga\'s Careless World moving down five spots to No. 48 with 8,300. Headed into his 10th week, the YMCB rapper\'s LP has sold 199,400 records.',negative
'on my YM shit right now. just finished listening to I Am Not A Human Being. now going onto Pink Friday. after this, hello Careless World.',negative
'And the Monstography bidding begins... Silent auction closes Tuesday 20th 8pm. Who will be NZ\'s next top Mon http://t.co/WSPVqt56',negative
'Its Thursdayyyyy so it\'s ladies night @IconsGrille come out and get your thirsty Thursday on with the Bomb Squad!!!!',negative
'Oct 9 1888 The Washington Monument officially opened to the general public. Have you been to visit?',negative
'Today: Sefton v @AlderCC HOME 12noon - including President\'s Day; 2nd XI v @newtoncricket Away 12.45pm.  Let\'s hope the forecast\'s wrong!',negative
'\\\"\"Brandon Weeden is going to be a player someday. He\'s not right now\\\"\" - Ron Jaworski just now on Sunday NFL Countdown #countdowntokickoff',positive
'S/o to one of my clients for the season ticks! SATURDAY WE ARE LIVE IN LEXINGTON LEVELS http://t.co/WiM01OvG',negative
'Mexican LLWS pitcher just let up 7 ER in the 1st inning. Sign him up for the Gary Carter Memorial Team@ryanpmacd @getfertlized4 @GrizzDalton',negative
'@mw55 what do you expect Thursday? Are you going to pull out that Mikey Magic on Duels day again? #hopeso',negative
'@swamy39 U proved to be a better scriptwriter than Shazia Ilmi. #Ramdev will end fast or move to Ramlila where he has permission till 30 Aug',positive
'@RockstarGames Bring GTA3/Vice City 10th Anniversaries to the PS Vita!',negative
'Im embracing the oversized sun glass look with my new glasses. They are too awesome not to. I feel like Jackie O:)',positive
'So June 9th is the day. This is gonna be worse the the Galaxy Foams',negative
'@jimbobohan @burko77_ I certainly wouldn\'t be spending my hard earnt  taking the kids to see say Shels 2nd XI v us, clubs will fold no doubt',negative
'Watch live streaming video of the Pancake Day activities tomorrow at http://t.co/xkQzkqO4! Make sure you... http://t.co/Jbr2mvXc',negative
'@dvfoos no more mentioning of FlatBush Zombies. Are you going to his concert tomorrow?!',negative
'Other than lemon tea&lemonade. Coke &Pepsi are my 2nd favorites. As unhealthy they are, i cant/wont stop drinking them,they\'re just so good',positive
'#Queen is worried about Black M.Hence #Mumbai Riot See#MSM lies thin crowd @ Ramlila on 3rd day:http://t.co/w5NNSQyW n  http://t.co/8cC0KfaB',negative
'Francesco Totti thinks Roma will be unable to catch Juventus & wants the #SerieA side to aim for 3rd this season http://t.co/13FxCEbw',negative
'@NicDawes Such a cool thing you\'re doing! Ubuntu Bridge. I vaguely recall them expanding to Zulu.. May be able to give.you a contact o/wise.',positive
'@Q98Rocks Presents: DETHKLOK with MACHINE HEAD, ALL THAT REMAINS, and BLACK DAHLIA MURDER! TUESDAY, NOVEMBER 13TH AT THE VENUE AT THE HUB!',negative
'One more day left in Iqaluit. Back home in Ottawa tomorrow',negative
'Monday at Town Ballroom: RICHIE HAWTIN with LOCO DICE.  Dude is so awesome.  Tix still avail at http://t.co/jPC3vf3T  http://t.co/HvKJ6hqt',positive
'Watched The Wiggles for the 1st time.  Was embarrassed for those men & then I remembered that they are probably FILTHY RICH. #parenting',negative
'was sat watching Degrassi then came to the realisation that Little Things will be aired in a while.',negative
'The Knicks got the Heat at MSG tomorrow! Gonna be tough but we got this!! #knickstape #GoNewYork',positive
'@russellthevoice Russell u beat me 2 it lol I was gonna tweet about the Classical Brit Awards being on this Sunday xxxxxxx',negative
'Madison don\'t wipe your black lines off !! \\\"\"It\'s like Ash Wednesday, you don\'t wipe that shit off.\\\"\"',negative
'If I\'m a CiCi\'s buffet, these mosquitoes are going in on me like obese Catholics on the last Friday of Lent.',negative
'How have I missed that today is National Margarita Day?!?!?  Kinda doesn\'t go with Ash Wednesday.....',negative
'Tonight\'s the decider -- will I be at the Garden friday night for Knicks/Heat game 6? Here\'s hoping for a miracle...',positive
'@Michael5SOS are you coming to nz tonight or tomorrow morning?? Waaa im so confused ):',negative
'http://t.co/TtQf1MqA Price: I\'d take Vitali fight: David Price says he would fight Vitali K... http://t.co/X7B85ZO7 CLICK-1st-LINK! 2WIN',negative
'My Miami Heat are going to Demolish the New York Knicks tomorrow. I am from New York. But sorry knicks!!',positive
'Indian Ocean with @simon_reeve got 1.4m viewers on Sunday with repeated programme about Somalia. More than double much trailed show on C4.',negative
'@supergirlmac Sarah G. Day is now on its 4th consecutive day on the top spot. :))',positive
'Blessed is the heart that bends, it will never be broken--- Lucas Scott Good pre-bedtime OTH after a busy day! Can\'t wait for tomorrow #zzzz',positive
'Freestyle Wednesday - #NP Big L, Jay Z, Mos Def, Black Thought, Eminem, Yelawolf... Love it',positive
'Winter Storm Watch for portions of the WDBJ7 viewing area  until 8:00pm Tuesday. http://t.co/GbHXY57g',negative
'About India: Auto production may end FY13 with 6\% growth: CMIE - Mumbai: Automobile production, which took a... http://t.co/2zocdLkd',positive
'@muterundumo good argument, however ITS A GAMBLE that won\'t pay off, worse still I think the constitution has a deadline of Dec 4th',negative
'I saw Katie Price was at the Haye / Chisora fight-now she\'s going to be @ the Olympic boxing training venue on Saturday - sparring!!',negative
'My background on my phone is this totally hot pic of Jennifer Aniston when she was like in the 3rd or 4th season of friends.',negative
'@Baby_Boomer93 Yeah bro! Girls Gone Wild is hosting a party friday hahahah. Make sure your in shape before bootcamp, otherwise it will suck.',negative
'Sony\'s putting out a new PS3 Firmware Update on Tuesday that FINALLY lets you see your PS Vita trophies on PS3. About ****ing time, Sony.',negative
'Who wants to see Maya Rudolph sing Prince with my Thursday night',negative
'@badassday I love NZ was there in Feb have friends with vineyard which is useful!! In Nelson lovely part of NZ!',positive
'First 24 hours in London got given a free rail card, saw 3 squirrels going to work, may have found a home & there\'s big Alan rickman posters',negative
'GM FBF, let\'s go ole skool today...The Winans, the choices 1) Tomorrow 2) Uphold Me or 3) Bring Back The Days, the voting begins now!',negative
'@leonelwell check @mrdavidhaye timeline mate, looks like we\'ll find out if we found the gym. If Vitali steps up we may have to go too',negative
'\\\"\"@XochilihcoX C\'mon Leo where\'s Endymion....... Or Amsterdam I know he likes Amsterdam.\\\"\" those songs are shit compared to the ones i put',negative
'A train from Naples to Milan made an unscheduled 40-minute stop at Parma on Tuesday - to drop off the Roma squad ahead of tonight\'s game.',negative
'We closing out the Knicks tomorrow',negative
'Just got the call the magazine is ready for pickup get your copy at the \\\"\"Hands That Heal Fashion Show\\\"\" Nov 4th Mr. Reggie 404-246-9582',negative
'Gowns at the ready girls, Q4 update tomorrow! @BeckyBull_x @emmaharv',negative
'I just need to chill. Can\'t wait to unleash some aggression at Black Dahlia Murder tomorrow. #GonnaEndALife',negative
'So ready for my birthday. (((: the big SIXTEEN! #sweetsixteen november 22!',positive
'@isawn_furlan The pretty reckless, my chemical romance, a day to remember, 30 seconds to mars, hey monday,  evanescence, mcfly etc ..',negative
'If you\'re calling this little thing right here a \\\"\"party\\\"\" then Friday night\'s gonna be Project X, Y, & Z.',negative
'The sun is out for President\'s Day! Today will be a good day, perfect way to finish the Cricket season.',positive
'@chelseafitch @chelss_lewis WPPI starts the 19th I believe.  That\'s why I\'m flying out the afternoon of the 18th.',negative
'rita oras on xfactor on sunday which means she\'ll sing shine ya light which i love which makes me happy!:-)',positive
'Just caught the last few minutes of @orjan_nilsen\'s track Endymion on @SiriusXMArea. Great track to get ready for work with. Its my FRIDAY!!',positive
'Richie Hawtin - Monday Night - Buffalo Town Ballroom - Don\'t miss it!',positive
'So many shows in the near future: Metafest, Royal Teeth, M83, White Arrows, Grouplove, SweetTeaPumpkinPie Music Fest and Taking Back Sunday.',negative
'Dr Jan Radio 2uE tonight with David Oldfield re  Kevin Rudd\'s sad loss of family cat. Pets deserve honouring cos they love  unconditionally.',negative
'Real test for #Bayern this weekend against the in form Bayer Leverkusen. A win at home on Sunday will go a long way towards a 15 win streak.',positive
'I just used #Shazam to discover Tomorrow by The Winans. http://t.co/Dta2fWhr',negative
'Just watched the 1st ever Elimination Chamber match I had no idea it was an hour long till it ended.',negative
'I just bought two tickets for the Sacramento Kings season opener on Monday! HYPED.',negative
'Rondo should be glad the All-Star game isn\'t hosted in DC with those Galaxy Foams on.',positive
'i\'ll make my bid for the adidas predator tomorrow Godwilling...',negative
'@bruce_arthur Some of the Calgary runners heading to NYC are going to be cleaning up debris on Friday at Rockaway Beach. Great story.',positive
